xCoord,yCoord,zCoord,Deformation
16.1987,20.5598,2.21011,-0.0422713
-5.05185,24.8395,-7.60728,0.00302744
18.2047,21.2265,55.0266,-0.0465364
-15.8345,-19.6565,98.2849,-0.0129788
25.7351,-7.95141,0.613182,-0.00321293
22.8362,14.0013,36.9791,-0.0574535
-17.6899,-19.1481,4.84372,-0.0745823
-13.2655,-23.5243,38.291,0.101413
19.4203,16.1344,99.1352,-0.00389063
-25.1194,-2.66452,98.6233,-0.0106233
14.6333,-22.706,81.642,0.0714788
-22.8676,0.190393,103.436,-0.0388172
15.1203,-22.5951,71.1685,0.073422
26.0661,-7.3411,61.237,0.123461
26.4122,8.14796,60.8569,-0.116358
-22.8116,-10.7947,-7.77547,0.00578952
7.19013,-26.361,73.0141,-0.0278547
-28.1291,1.0389,58.7369,0.02948
23.4566,14.603,32.6674,-0.0183003
4.67243,25.8409,24.7317,0.0803313
1.78024,26.3385,82.2581,0.0416131
-25.4339,-9.98523,69.5519,-0.0207641
3.75828,25.0538,-1.71102,0.00751591
27.593,1.46378,27.6221,-0.0234354
-17.4844,-21.0389,66.773,0.0911224
-10.5854,24.6238,34.1275,-0.0807832
-1.28301,-26.9422,64.4845,0.0209699
-6.67379,27.1733,41.1134,0.0044347
4.19706,24.2787,92.8859,0.0390975
11.9803,23.4428,5.7226,0.0665307
0.855151,25.2823,-6.06755,0.000741482
22.0503,15.2182,74.854,-0.0264709
-13.0762,-21.702,-1.11439,-0.0135803
27.298,3.81819,70.7767,-0.0640593
25.3036,-1.29111,99.8909,-0.0118794
7.93799,25.7808,26.0748,-0.0951079
26.075,4.28046,6.63526,0.0286856
23.9494,13.255,8.86865,-0.0423257
-11.2211,24.3081,5.10346,-0.0208151
-22.8101,15.9521,78.2951,0.0981209
-18.8578,20.0295,44.5165,0.0841212
-23.3455,14.2433,7.56789,0.00232959
22.4152,-11.6235,95.826,0.000788093
14.4412,22.3829,25.1159,0.0803349
-13.3122,-23.7524,34.1209,0.00450659
27.0278,-2.73061,27.4243,0.0777471
27.3235,5.50665,83.5258,-0.0280249
0.130381,-26.6651,48.031,-0.0976071
3.22159,24.8895,102.676,0.0110433
2.97477,-27.0896,20.3663,-0.0248119
-23.0072,-13.8433,55.1375,-0.0284362
26.1392,-9.13468,43.6282,0.00627208
27.3248,2.4358,79.9412,-0.0289173
-6.43669,-26.1212,91.0413,-0.0849414
23.0094,13.7702,49.5752,-0.054324
27.0966,4.23933,86.3094,-0.0620799
-28.0601,-1.88754,69.4699,-0.0497606
-15.8657,-20.0187,89.8106,-0.0103137
25.3988,10.3845,43.8776,-0.0365319
12.2016,-22.1673,96.8108,-0.0161873
0.17624,25.3766,12.2874,-0.00292206
-27.4342,5.27915,7.216,-0.0102167
22.3373,-14.9996,15.6977,-0.00784051
-12.8514,-23.1025,29.9548,0.0139766
-0.824319,-27.0835,39.0962,0.0481422
1.25346,-25.7022,86.8856,-0.00523317
-23.8841,13.9664,32.6814,-0.0542071
26.9568,-5.86697,30.7517,-0.0649805
13.4446,-21.3935,-4.00119,0.00775731
5.26189,-25.8701,9.21287,-0.0402157
14.9328,23.216,71.9424,-0.0141698
9.70787,-25.2221,52.8993,0.136882
-15.5245,21.8439,20.987,-0.0371675
-26.6476,-7.20675,63.3317,0.0764992
3.86294,25.0508,-8.23604,-0.0138481
-21.4091,-13.4787,-2.72323,-0.0164878
-0.712699,27.4983,71.052,0.0549965
16.8653,21.3176,50.3199,0.00686979
-27.0451,-4.99626,68.8961,0.107466
11.2382,-24.2002,11.8548,-0.0740577
-24.7868,12.4942,57.8616,-0.0528095
7.87371,-25.9153,44.4613,0.112558
8.0037,-26.1647,40.4878,0.029824
-0.728232,26.8249,66.1764,0.040556
27.7815,-3.01437,37.3696,0.0586033
13.4641,22.8743,74.5931,-0.103308
10.0209,-24.1029,89.7629,0.0188301
-9.80222,-23.7626,3.10484,0.051273
-17.2309,-21.2274,50.154,0.0118141
-23.5139,-11.6446,91.445,0.0211322
24.795,5.59641,96.4298,-0.0209571
26.2893,8.03974,62.3304,-0.0542011
1.92552,-26.4574,15.6518,0.0305262
-26.1093,3.16246,87.4549,-0.0264833
25.5448,-8.55658,23.0377,0.110418
-27.4987,2.57444,29.6247,-0.044734
21.5334,-15.3652,6.43875,0.0436382
-8.11029,-24.8556,7.91658,-0.0090313
26.2187,-8.38568,55.0591,-0.0169344
19.0964,-16.5531,97.4443,-0.0113367
-17.3437,-20.9254,59.9156,0.138988
24.9141,-4.13393,96.7201,-0.0175116
0.429825,26.9372,20.0604,0.00306487
13.4324,21.4033,99.8953,0.00212383
-6.08932,24.8332,5.97716,0.0361545
2.15109,-26.3972,2.44706,0.0448377
-25.3272,8.43806,92.9673,0.00733924
-4.08723,26.4883,8.74189,0.0352485
17.0975,21.4137,56.5148,-0.0758898
-9.13051,-25.1223,33.5792,0.013648
-25.8111,8.49145,17.1124,0.0852036
20.2663,-17.8595,41.6824,0.103409
-8.94945,-23.4326,102.834,0.015914
-22.906,12.605,0.75108,0.011956
-16.6604,20.0154,95.6552,0.00201106
-15.4461,20.9492,2.31428,-0.0444586
1.46685,-26.3246,37.7786,0.127704
-22.2106,5.58992,103.441,-0.0503143
-25.9753,-11.5073,65.2564,0.0825703
-7.16067,26.1765,60.5659,-0.00483632
-20.9812,17.5882,46.6599,-0.0755779
26.5903,-6.42749,18.1674,-0.0048039
13.5574,22.4896,81.5418,-0.0119345
-19.927,17.992,41.8076,0.153414
-10.1468,24.8819,63.3227,-0.145548
16.5862,-21.0918,72.6838,0.0810423
10.3164,24.4565,9.13363,-0.0159276
-7.0717,-26.1274,78.6118,0.0288529
-2.64679,25.0372,102.609,0.00165272
24.9535,-7.66103,4.71788,0.00378203
16.8576,21.4285,48.123,0.101975
25.8076,9.5058,6.06895,-0.0565653
22.222,16.9511,65.6154,0.117711
25.2897,-6.2872,92.2816,-0.041873
-25.8721,-8.52741,80.7925,-0.00880194
8.81956,-24.9147,77.1595,0.0054388
23.6954,-12.655,35.9111,0.082001
9.26048,25.5332,43.4434,0.0961976
26.9403,4.08231,14.3101,0.0500803
7.22286,25.239,6.68334,-0.0664673
18.2576,-17.9315,4.47145,0.0883332
-2.44525,26.3347,79.2921,0.110656
-23.4317,14.4958,90.993,0.0580125
-5.56983,26.079,81.3203,-0.0116686
-14.9206,22.29,50.8139,0.036833
26.82,6.13355,15.7584,-0.0111637
21.2168,16.2829,62.0814,0.102404
4.02719,25.5042,88.277,0.0303066
27.8177,6.35426,52.3916,0.0332099
-11.744,24.0638,25.139,0.123171
22.45,12.0682,93.9893,0.0139734
-27.8387,-6.69602,45.3495,-0.0124269
-3.07417,-25.8257,2.39627,0.0364147
-23.9457,14.3531,83.8706,0.0588601
6.90895,26.7093,20.4668,0.04845
-26.2546,8.41926,60.7068,-0.180578
-17.4993,-20.5411,79.4219,0.0871136
20.9946,18.0596,39.6985,-0.0747316
4.21016,-26.3206,9.27765,-0.00516367
-8.35284,-24.9359,93.9713,-0.0578237
12.7837,-23.1497,75.342,0.0501766
-11.1736,24.0626,89.8873,0.026427
-25.4249,-10.3405,85.9183,0.12304
-0.192713,-26.3403,65.9135,-0.0503517
5.16343,-24.7736,-3.32649,0.0108948
26.2127,-8.02948,36.471,-0.0879202
-3.80805,-26.1332,78.4603,0.0364218
15.0613,17.4238,103.415,-0.0486436
6.25074,-25.9618,68.6782,-0.060643
-23.9763,-8.13414,-4.16706,-0.000829935
-5.74362,-24.6161,-8.35551,-0.0179396
27.1186,2.96814,91.8521,-0.0359697
-14.1164,23.3055,63.332,-0.0902618
16.6889,21.5952,35.5611,0.0945439
-22.3953,-8.06792,103.507,0.0314599
-6.54341,24.4424,101.164,-0.00138175
-23.0113,-9.16782,95.2352,0.00806522
-22.3157,-17.0162,19.655,0.0122911
-27.318,-2.88677,70.8431,-0.0219138
10.7627,-24.729,50.8179,-0.097383
-24.8008,-4.6765,96.9678,-0.0140591
-21.5785,-17.9303,53.638,-0.00701368
-26.9503,5.95666,79.7417,0.129642
20.0321,-17.981,55.2964,0.0502505
-24.8543,4.29693,99.4387,-0.00921464
27.4802,7.76143,38.9458,0.0323164
23.2392,-9.81425,95.8244,0.00494754
18.6631,20.0004,53.0462,0.000829935
-25.2834,0.632114,-3.60262,0.00509822
25.4412,11.9174,33.3796,0.0855846
26.8956,3.41469,32.5623,0.00487733
